Parcel_ID,State,Land_Use_Type,Area_Hectares,Carbon_Tons_per_Ha,Carbon_Value_INR,Flood_Mitigation_Value_INR,Water_Filtration_Value_INR,Pollination_Value_INR,Biodiversity_Index,Biodiversity_Value_INR,Total_Ecosystem_Value_INR,Development_Profit_INR,Discount_Rate,Time_Horizon_Years,NPV_Environment_INR,NPV_Development_INR,Environmental_ROI,Financial_ROI
1,Gujarat,Urban,190.4,238.17,181390272.0,4436291.16,1862599.48,457753.54,0.32,1218560.0,189365476.18,12284779.94,0.108,20,154248618.66,10006630.43,11.5561,-0.9472
2,Tamil Nadu,Industrial,302.55,179.94,217763388.0,1668445.97,4419900.94,2569249.69,0.36,2178360.0,228599344.6,28880285.96,0.047,50,181694412.72,22954512.87,5.2913,-0.8996
3,Assam,Barren Land,155.6,135.94,84609056.0,2458266.12,900298.3,1012438.79,0.3,933600.0,89913659.21,19144426.83,0.063,50,66245952.65,14105095.98,2.4603,-0.8431
4,Gujarat,Industrial,230.75,198.44,183160120.0,2305618.13,2004074.76,1461046.96,0.23,1061450.0,189992309.85,46585243.64,0.045,50,152459527.87,37382377.51,2.2727,-0.8032
5,Karnataka,Barren Land,37.2,237.73,35374224.0,1084037.79,465340.96,139184.69,0.27,200880.0,37263667.44,8223367.15,0.07,20,32547530.3,7182607.35,2.9579,-0.8072
6,Assam,Forest,65.41,128.84,33709697.6,383283.83,904042.42,217751.19,0.7,915740.0,36130515.04,8367755.37,0.077,20,31148902.25,7214023.76,2.7225,-0.8003
7,Uttar Pradesh,Agriculture,275.62,54.37,59941837.6,8059022.88,3328587.41,2606122.28,0.87,4795788.0,78731358.17,54979298.04,0.113,40,51305873.5,35827667.35,-0.0668,-0.5449
8,Assam,Solar Farm,48.8,57.04,11134208.0,299177.29,303989.56,219507.07,0.4,390400.0,12347281.92,12550597.61,0.062,50,9140054.4,9290558.49,-0.2717,-0.2476
9,Gujarat,Forest,144.06,140.25,80817660.0,1227838.6,1790458.46,240717.89,0.94,2708328.0,86785002.95,35015395.37,0.048,40,71944823.58,29027785.41,1.0547,-0.6655
10,Assam,Industrial,7.73,205.71,6360553.2,175250.18,88717.93,61387.28,0.26,40196.0,6726104.59,1079235.02,0.04,20,6218661.79,997813.44,4.7621,-0.8517
11,Gujarat,Agriculture,432.24,159.59,275924726.4,5736884.06,1221622.0,1642010.99,0.44,3803712.0,288328955.45,100453243.63,0.087,10,265252028.93,92413287.61,1.6406,-0.6795
12,West Bengal,Solar Farm,444.17,123.33,219117944.4,3548854.41,5006765.18,3485431.06,0.62,5507708.0,236666703.05,107818623.08,0.074,50,165621134.01,75452281.17,0.5361,-0.6812
13,Gujarat,Forest,263.75,112.61,118803550.0,1486357.37,897432.73,338355.03,0.68,3587000.0,125112695.13,33915347.5,0.076,20,108062954.43,29293531.3,2.1863,-0.7659
14,Tamil Nadu,Grassland,454.25,69.83,126881110.0,6931661.07,5370218.36,1389634.1,0.26,2362100.0,142934723.53,55617399.37,0.045,20,130889607.41,50930518.41,1.3534,-0.6437
15,Assam,Urban,465.2,203.95,379510160.0,9692485.69,6200645.07,3830014.25,0.34,3163360.0,402396665.01,127064611.52,0.079,10,372934814.65,117761456.46,1.935,-0.7073
